energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,track_popularity,track_album_name,track_id,track_name,track_album_id,mode,key,duration_ms,acousticness,id,playlist_subgenre,playlist_id
0.592,157.969,0.521,pop,-7.777,0.122,0.535,"Lady Gaga, Bruno Mars",100,Die With A Smile,2plbrEY59IikOBgBGLjaoe,Die With A Smile,10FLjwfpbxLmW8c25Xyc2N,0,6,251668,0.308,2plbrEY59IikOBgBGLjaoe,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.507,104.978,0.747,pop,-10.171,0.117,0.438,Billie Eilish,97,HIT ME HARD AND SOFT,6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,7aJuG4TFXa2hmE4z1yxc3n,1,2,210373,0.2,6dOtVTDdiauQNBQEDOtlAB,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.808,108.548,0.554,pop,-4.169,0.159,0.372,Gracie Abrams,93,The Secret of Us (Deluxe),7ne4VBA60CxGM75vw0EYad,That’s So True,0hBRqPYPXhr1RkTDG3n4Mk,1,1,166300,0.214,7ne4VBA60CxGM75vw0EYad,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.91,112.966,0.67,pop,-4.07,0.304,0.786,Sabrina Carpenter,81,Short n' Sweet,1d7Ptw3qYcfpdLNL5REhtJ,Taste,4B4Elma4nNDUyl6D5PvQkj,0,0,157280,0.0939,1d7Ptw3qYcfpdLNL5REhtJ,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.783,149.027,0.777,pop,-4.477,0.355,0.939,"ROSÉ, Bruno Mars",98,APT.,5vNRhkKd0yEAg8suGBpjeY,APT.,2IYQwwgxgOIn7t3iF6ufFD,0,0,169917,0.0283,5vNRhkKd0yEAg8suGBpjeY,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.582,116.712,0.7,pop,-5.96,0.0881,0.785,Chappell Roan,94,"Good Luck, Babe!",0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",1WAjjRMfZjEXtB0lQrAw6Q,0,11,218424,0.0502,0WbMK4wrZ1wFSty9F7FCgu,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.561,150.069,0.669,pop,-6.538,0.0954,0.841,Addison Rae,88,Diet Pepsi,6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,0XA403JTounqFh2owquBXu,1,10,169698,0.495,6MzofobZt2dm0Kf1hTThFz,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.247,148.101,0.467,pop,-12.002,0.17,0.126,Billie Eilish,93,HIT ME HARD AND SOFT,3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,7aJuG4TFXa2hmE4z1yxc3n,0,6,261467,0.612,3QaPy1KgI7nu9FJEQUgn6h,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.416,94.926,0.492,pop,-10.439,0.203,0.297,Gigi Perez,71,Sailor Song,0UYnhUfnUj5adChuAXvLUB,Sailor Song,4DWrYvfGXRE8ko5ZxlIpit,1,11,211979,0.686,0UYnhUfnUj5adChuAXvLUB,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.722,119.973,0.769,pop,-5.485,0.111,0.57,"The Weeknd, Playboi Carti",92,Timeless,1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),2IRxVVqbSbqHJo8Zx50LYn,0,11,256000,0.0584,1Es7AUAhQvapIcoh3qMKDL,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.667,130.019,0.776,pop,-6.622,0.0761,0.618,"Charli xcx, Billie Eilish",85,Guess featuring Billie Eilish,3WOhcATHxK2SLNeP5W3v1v,Guess featuring billie eilish,3ThlxfLSy4bfKzxWqmC7VN,1,7,145219,0.0146,3WOhcATHxK2SLNeP5W3v1v,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.586,107.071,0.669,pop,-6.073,0.104,0.579,Sabrina Carpenter,88,Please Please Please,5N3hjp1WNayUPZrA8kJmJP,Please Please Please,5bBaoign62r1i7OV8w7mi9,1,9,186365,0.274,5N3hjp1WNayUPZrA8kJmJP,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.806,104.032,0.608,pop,-3.443,0.191,0.587,Tate McRae,79,2 hands,1f18HzFpegqvH4ibGJyeMJ,2 hands,2BdJwrx2wMJi7x06wWkUFg,1,1,181821,0.121,1f18HzFpegqvH4ibGJyeMJ,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.709,81.012,0.722,pop,-4.95,0.0804,0.604,Shaboozey,86,A Bar Song (Tipsy),2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),6egBeCLeGITzGSo5VyRjwZ,1,9,171292,0.0633,2FQrifJ1N335Ljm3TjTVVf,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.757,139.982,0.742,pop,-4.981,0.305,0.957,Chappell Roan,88,The Rise and Fall of a Midwest Princess,4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,0EiI8ylL0FmWWpgHVTsZjZ,1,6,184841,0.0187,4xdBrk0nFZaP54vvZj0yx7,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.917,100.987,0.562,pop,-2.768,0.488,0.501,Lady Gaga,86,Disease,19KlZwqlT3fguP2BeHF1Q1,Disease,52BWvTRMsPqjHzrbQomgwP,0,11,229997,0.0513,19KlZwqlT3fguP2BeHF1Q1,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.787,109.939,0.734,pop,-3.951,0.312,0.672,LISA,82,Moonlit Floor (Kiss Me),5G345YEhvleYxQLfYUlEFv,Moonlit Floor (Kiss Me),1OGxb1Z5KDBVOwDtyKu8wz,0,5,155757,0.126,5G345YEhvleYxQLfYUlEFv,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.843,122.064,0.619,pop,-5.348,0.164,0.746,Morgan Wallen,86,Love Somebody,7hR22TOX3RorxJPcsz5Wbo,Love Somebody,0TxewlKVKdpP18dGg279ep,0,5,204829,0.00948,7hR22TOX3RorxJPcsz5Wbo,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.406,115.94,0.53,pop,-7.507,0.133,0.338,Gracie Abrams,90,The Secret of Us,51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",56bdWeO40o3WfAD2Lja4dl,1,10,157147,0.656,51rfRCiUSvxXlCSCfIztBy,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.782,119.992,0.727,pop,-8.529,0.225,0.655,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",86,Move,1BJJbSX6muJVF2AK7uH1x4,Move,4M8ThNHbNjda2cPwL8XZHS,0,8,177599,0.0563,1BJJbSX6muJVF2AK7uH1x4,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.812,80.09,0.505,pop,-3.986,0.444,0.664,"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",88,CHROMAKOPIA,3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",0U28P0QVB1QRxpqp5IHOlH,1,1,255916,0.285,3tFed7YsjGnIfxeLEQwx3R,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.76,103.969,0.701,pop,-5.478,0.185,0.69,Sabrina Carpenter,90,Espresso,2qSkIjg1o9h3YT9RAgYN75,Espresso,5quMTd5zeI9yW5UDua8wS4,1,0,175459,0.107,2qSkIjg1o9h3YT9RAgYN75,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.725,116.988,0.894,pop,-4.984,0.0815,0.838,JENNIE,89,Mantra,2CspwnypzT7rcWI9RfsoSb,Mantra,3e5tDT1kfaAGx10yOjIDgW,0,10,136627,0.00434,2CspwnypzT7rcWI9RfsoSb,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.563,105.008,0.833,pop,-5.593,0.139,0.343,"Rauw Alejandro, Bad Bunny",82,Cosa Nuestra,0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,0aX0UXrHG2ceYIxTQcqJdA,0,4,182857,0.528,0l0vcZMU7AOeQmUIREoI2U,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.628,119.98,0.757,pop,-6.715,0.221,0.321,Don Toliver,85,HARDSTONE PSYCHO,2c7z5oRcPBbqRaBY2mLWcf,NEW DROP,0Kzb3u6kMnOJOZXYFSk33F,0,4,217333,0.189,2c7z5oRcPBbqRaBY2mLWcf,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.855,127.986,0.638,pop,-4.86,0.245,0.731,"Post Malone, Morgan Wallen",84,I Had Some Help,7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),1woYXxyyxTQJ0E0AhZE6mj,1,7,178206,0.00757,7221xIgOnuakPdLqT0F3nP,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.62,117.038,0.741,pop,-5.505,0.0398,0.934,Hozier,77,Unheard,4IadxL6BUymXlh8RCJJu7T,Too Sweet,1KZC0cX0qq6hodR9YVgh9F,1,10,251424,0.0295,4IadxL6BUymXlh8RCJJu7T,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.339,97.989,0.705,pop,-10.612,0.12,0.457,The Marías,84,Submarine,3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,03guxdOi12XJbnvxvxbpwG,1,7,236907,0.552,3siwsiaEoU4Kuuc9WKMUy5,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.651,112.648,0.694,pop,-6.968,0.0787,0.471,"Oscar Maydon, Fuerza Regida",93,Tu Boda,1cOboCuWYI2osTOfolMRS6,Tu Boda,60cQzWfmdg4hyDXrpW6kOA,1,6,225881,0.496,1cOboCuWYI2osTOfolMRS6,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.601,123.994,0.635,pop,-6.129,0.11,0.332,Myles Smith,88,Stargazing,3Vr3zh0r7ALn8VLqCiRR10,Stargazing,3VNxRarx9HUI5w7DHv0TBj,0,1,172533,0.246,3Vr3zh0r7ALn8VLqCiRR10,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.691,167.029,0.836,pop,-4.222,0.282,0.703,"GloRilla, Sexyy Red",70,WHATCHU KNO ABOUT ME (with Sexyy Red),4VI2Y5xg4gYynQqNQNQbTN,WHATCHU KNO ABOUT ME (with Sexyy Red),2PzoiaGTcK3NfnMgHFd7QC,1,1,149461,0.00586,4VI2Y5xg4gYynQqNQNQbTN,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.646,115.842,0.645,pop,-8.334,0.074,0.295,Ariana Grande,81,eternal sunshine,46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),71PfP4E9roOXAudea1aPGw,1,5,228639,0.0615,46kspZSY3aKmwQe7O77fCC,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.471,105.029,0.472,pop,-5.692,0.14,0.219,Benson Boone,85,Beautiful Things,6tNQ70jh4OwmPGpYy6R2o9,Beautiful Things,29aSKB1qPEbN0Qf9OPSQpw,1,10,180304,0.151,6tNQ70jh4OwmPGpYy6R2o9,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.709,194.055,0.744,pop,-5.778,0.0847,0.712,"Myke Towers, benny blanco",84,LA PANTERA NEGRA (DELUXE),0qeIFEGRQqHoaJtLCl0U73,DEGENERE 👑 (feat. benny blanco),3pkIK8SI5mcUUjb9jNjx4H,0,6,130880,0.0501,0qeIFEGRQqHoaJtLCl0U73,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.904,167.033,0.739,pop,-2.655,0.0948,0.788,KATSEYE,85,Touch,6aJn7Cst74cj4lNIiPRgav,Touch,1hjqg3TuQ2YqooaPhxHwdv,0,5,129883,0.549,6aJn7Cst74cj4lNIiPRgav,mainstream,37i9dQZF1DXcBWIGoYBM5M
0.604,159.92,0.561,pop,-4.409,0.104,0.242,Teddy Swims,89,I've Tried Everything But Therapy (Part 1),17phhZDn6oGtzMe56NuWvj,Lose Control,7nacKlk586eLRBSIsrk9DB,1,9,210689,0.199,17phhZDn6oGtzMe56NuWvj,mainstream,37i9dQZF1DXcBWIGoYBM5M
